Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Driving_experience,Type_of_vehicle,Service_year_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Pedestrian_movement,Cause_of_accident,Accident_severity,Hour
Tuesday,18-30,Male,Junior high school,Above 10yr,Automobile,13.0,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads with some distress,Dry,Daylight,Normal,Rollover,2,1,Going straight,Passenger,Female,31-50,3,Not a Pedestrian,No priority to vehicle,Serious Injury,16
Sunday,18-30,Female,Junior high school,1-2yr,Lorry (41?100Q),0.0, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Serious Injury,21
Sunday,18-30,Male,Above high school,5-10yr,Lorry (41?100Q),0.0, Church areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,Over 51,3,Not a Pedestrian,Moving Backward,Serious Injury,21
Saturday,18-30,Male,Junior high school,5-10yr,Lorry (41?100Q),5.0,Residential areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the left,Serious Injury,14
Saturday,18-30,Male,Elementary school,Below 1yr,Pick up upto 10Q,0.0,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,No priority to pedestrian,Serious Injury,14
Monday,Over 51,Male,Junior high school,5-10yr,Pick up upto 10Q,8.0,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,18-30,3,Not a Pedestrian,No distancing,Slight Injury,12
Monday,18-30,Male,Junior high school,Above 10yr,Automobile,5.0,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,Driver or rider,Male,Over 51,3,Not a Pedestrian,No priority to vehicle,Slight Injury,12
Wednesday,Over 51,Male,Junior high school,5-10yr,Other,8.0, Church areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Rollover,1,1,Other,na,na,na,na,Not a Pedestrian,No distancing,Serious Injury,11
Thursday,31-50,Male,Junior high school,1-2yr,Automobile,0.0,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Passenger,Female,Over 51,3,Not a Pedestrian,No distancing,Slight Injury,18
Monday,31-50,Male,Junior high school,2-5yr,Automobile,0.0,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Reversing,Passenger,Male,Under 18,3,Not a Pedestrian,Moving Backward,Slight Injury,10
Monday,18-30,Male,Junior high school,5-10yr,Motorcycle,0.0,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,31-50,3,Not a Pedestrian,Changing lane to the right,Slight Injury,10
Sunday,31-50,Male,Junior high school,Above 10yr,Automobile,0.0,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Reversing,na,na,na,na,Not a Pedestrian,No priority to pedestrian,Slight Injury,16
Sunday,18-30,Male,Junior high school,2-5yr,Automobile,1.0, Church areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Overtaking,Slight Injury,11
Wednesday,18-30,Male,Junior high school,1-2yr,Public (> 45 seats),13.0,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,1,Going straight,Driver or rider,Male,Under 18,3,Not a Pedestrian,Overloading,Slight Injury,18
Friday,31-50,Male,Junior high school,5-10yr,Lorry (41?100Q),8.0,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,4,Reversing,Driver or rider,Male,31-50,3,Not a Pedestrian,Changing lane to the right,Slight Injury,13
Friday,31-50,Male,Elementary school,5-10yr,Automobile,0.0,Office areas,other,Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,4,Going straight,Passenger,Female,Over 51,3,Not a Pedestrian,Other,Slight Injury,13
Tuesday,18-30,Male,Junior high school,2-5yr,Automobile,0.0,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Pedestrian,Female,18-30,3,Unknown or other,No priority to pedestrian,Slight Injury,15
Monday,31-50,Male,Junior high school,2-5yr,Lorry (41?100Q),13.0,Residential areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,18-30,3,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Overspeed,Slight Injury,19
Monday,Over 51,Male,Junior high school,5-10yr,Automobile,2.0, Industrial areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the left,Slight Injury,19
Thursday,18-30,Male,Junior high school,1-2yr,Public (13?45 seats),5.0,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,1,Going straight,Driver or rider,Male,5,3,Not a Pedestrian,No priority to vehicle,Slight Injury,18
Friday,18-30,Male,Junior high school,2-5yr,Automobile,0.0,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Changing lane to the right,Serious Injury,22
Friday,18-30,Male,High school,2-5yr,Public (> 45 seats),0.0,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,na,na,na,na,Not a Pedestrian,No distancing,Serious Injury,22
Wednesday,18-30,Male,Junior high school,5-10yr,Lorry (41?100Q),5.0,Office areas,Double carriageway (median),Escarpments,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,1,Going straight,Pedestrian,Female,31-50,3,Not a Pedestrian,No priority to pedestrian,Serious Injury,15
Friday,18-30,Male,Junior high school,1-2yr,Automobile,13.0,Office areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,3,Going straight,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,19
Friday,31-50,Male,Junior high school,Below 1yr,Lorry (11?40Q),2.0,Office areas,Undivided Two way,Escarpments,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,3,Turnover,Driver or rider,Male,18-30,2,Not a Pedestrian,No priority to vehicle,Slight Injury,19
Friday,31-50,Male,High school,1-2yr,Public (13?45 seats),0.0,Office areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,3,Going straight,na,na,na,na,Not a Pedestrian,Other,Slight Injury,19
Friday,31-50,Male,Above high school,1-2yr,Public (13?45 seats),0.0,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Rollover,2,3,Moving Backward,Driver or rider,Female,18-30,3,Not a Pedestrian,Driving carelessly,Slight Injury,19
Saturday,31-50,Male,Junior high school,Above 10yr,Automobile,0.0,Office areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Moving Backward,Passenger,Female,Under 18,3,Not a Pedestrian,Changing lane to the left,Serious Injury,16
Saturday,18-30,Male,High school,1-2yr,Long lorry,13.0,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,na,na,na,na,Not a Pedestrian,Driving carelessly,Serious Injury,16
Sunday,18-30,Male,Junior high school,2-5yr,Lorry (41?100Q),8.0,Residential areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,3,1,Other,Driver or rider,Male,31-50,3,Not a Pedestrian,Changing lane to the left,Slight Injury,13
Sunday,18-30,Male,Above high school,2-5yr,Lorry (11?40Q),0.0,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,3,1,Going straight,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,13
Sunday,Over 51,Male,High school,Above 10yr,Lorry (41?100Q),8.0, Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,3,1,Going straight,Driver or rider,Female,31-50,3,Not a Pedestrian,No distancing,Slight Injury,13
Tuesday,18-30,Male,Elementary school,5-10yr,Public (12 seats),0.0,  Recreational areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Collision with pedestrians,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Changing lane to the right,Slight Injury,17
Tuesday,18-30,Male,High school,1-2yr,Automobile,0.0, Industrial areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Collision with pedestrians,2,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,17
Monday,18-30,Male,High school,2-5yr,Automobile,13.0,Residential areas,other,Tangent road with rolling terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Female,Under 18,3,Not a Pedestrian,No distancing,Slight Injury,20
Wednesday,31-50,Male,Junior high school,1-2yr,Automobile,5.0,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,15
Friday,18-30,Male,Above high school,Above 10yr,Automobile,5.0,  Market areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,2,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,Changing lane to the left,Slight Injury,19
Friday,18-30,Male,Above high school,2-5yr,Lorry (41?100Q),0.0,Unknown,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Other,Driver or rider,Male,31-50,3,Not a Pedestrian,Getting off the vehicle improperly,Slight Injury,19
Friday,18-30,Male,Elementary school,5-10yr,Automobile,0.0, Industrial areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,2,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Other,Slight Injury,19
Thursday,31-50,Male,Elementary school,1-2yr,Automobile,0.0,Residential areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Overtaking,na,na,na,na,Not a Pedestrian,Other,Slight Injury,9
Thursday,18-30,Male,Junior high school,5-10yr,Lorry (41?100Q),1.0,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,18-30,3,Not a Pedestrian,No distancing,Slight Injury,9
Thursday,18-30,Female,Junior high school,5-10yr,Automobile,8.0,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,14
Thursday,Over 51,Male,Elementary school,5-10yr,Automobile,0.0,Residential areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Overtaking,Slight Injury,14
Saturday,18-30,Male,Junior high school,2-5yr,Automobile,2.0,Rural village areas,Undivided Two way,Gentle horizontal curve,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,U-Turn,na,na,na,na,Not a Pedestrian,No priority to pedestrian,Slight Injury,22
Saturday,18-30,Male,Junior high school,5-10yr,Taxi,5.0,Rural village areas,Undivided Two way,Gentle horizontal curve,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,2,Going straight,Pedestrian,Female,Under 18,3,Not a Pedestrian,No distancing,Slight Injury,22
Saturday,18-30,Male,High school,2-5yr,Automobile,0.0,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,2,Going straight,Driver or rider,Male,5,3,Not a Pedestrian,Changing lane to the right,Slight Injury,22
Thursday,31-50,Male,Junior high school,1-2yr,Automobile,5.0,Residential areas,Undivided Two way,Gentle horizontal curve,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,Over 51,3,Not a Pedestrian,Driving carelessly,Slight Injury,9
Thursday,18-30,Female,Junior high school,1-2yr,Automobile,0.0,Residential areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Raining,Vehicle with vehicle collision,3,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,7
Thursday,18-30,Male,Junior high school,5-10yr,Pick up upto 10Q,0.0, Outside rural areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Raining,Vehicle with vehicle collision,3,1,Turnover,na,na,na,na,Not a Pedestrian,Overtaking,Slight Injury,7
Thursday,18-30,Male,Illiterate,5-10yr,Automobile,13.0,Residential areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Raining,Vehicle with vehicle collision,3,1,Going straight,Pedestrian,Female,31-50,3,Not a Pedestrian,Other,Slight Injury,7
Wednesday,18-30,Male,Junior high school,5-10yr,Automobile,8.0, Church areas,other,Tangent road with flat terrain,Other,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Driving to the left,Serious Injury,17
Wednesday,31-50,Male,Junior high school,1-2yr,Public (12 seats),0.0,Office areas,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Passenger,Female,18-30,3,Not a Pedestrian,Driving at high speed,Serious Injury,17
Wednesday,31-50,Male,Junior high school,2-5yr,Public (13?45 seats),0.0,Office areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Pedestrian,Female,31-50,2,Not a Pedestrian,Unknown,Slight Injury,7
Wednesday,18-30,Male,Junior high school,Above 10yr,Lorry (11?40Q),0.0,Office areas,Two-way (divided with broken lines road marking),Escarpments,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Moving Backward,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,7
Monday,18-30,Male,Junior high school,5-10yr,Stationwagen,5.0,Other,Undivided Two way,Tangent road with mountainous terrain and,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,5,3,Not a Pedestrian,No distancing,Slight Injury,8
Monday,18-30,Female,High school,1-2yr,Ridden horse,5.0,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,18-30,3,Not a Pedestrian,Other,Slight Injury,8
Monday,18-30,Female,Junior high school,Above 10yr,Stationwagen,0.0,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Unknown,Vehicle with vehicle collision,2,2,Going straight,Passenger,Female,Over 51,3,Not a Pedestrian,No priority to vehicle,Slight Injury,15
